event_key,event_date,score_first,score_second,score_set,download_time
12099964,2026-02-02,0,0,1,2026-02-01 15:47:17
12099969,2026-02-02,0,0,1,2026-02-01 15:47:17
12100057,2026-02-02,0,0,1,2026-02-01 15:47:17
12100058,2026-02-02,0,0,1,2026-02-01 15:47:17
12100059,2026-02-02,0,0,1,2026-02-01 15:47:17
12100060,2026-02-02,0,0,1,2026-02-01 15:47:17
12100061,2026-02-02,0,0,1,2026-02-01 15:47:17
12100062,2026-02-02,0,0,1,2026-02-01 15:47:17
12100063,2026-02-02,0,0,1,2026-02-01 15:47:17
12100064,2026-02-02,0,0,1,2026-02-01 15:47:17
12100065,2026-02-02,0,0,1,2026-02-01 15:47:17
12100066,2026-02-02,0,0,1,2026-02-01 15:47:17
12100067,2026-02-02,0,0,1,2026-02-01 15:47:17
12100068,2026-02-02,0,0,1,2026-02-01 15:47:17
12100069,2026-02-02,0,0,1,2026-02-01 15:47:17
12100070,2026-02-02,0,0,1,2026-02-01 15:47:17
12100071,2026-02-02,0,0,1,2026-02-01 15:47:17
12100072,2026-02-02,0,0,1,2026-02-01 15:47:17
12100073,2026-02-02,0,0,1,2026-02-01 15:47:17
12100074,2026-02-02,0,0,1,2026-02-01 15:47:17
12100075,2026-02-02,0,0,1,2026-02-01 15:47:17
12100076,2026-02-02,0,0,1,2026-02-01 15:47:17
12100077,2026-02-02,0,0,1,2026-02-01 15:47:17
12100078,2026-02-02,0,0,1,2026-02-01 15:47:17
12100079,2026-02-02,0,0,1,2026-02-01 15:47:17
12100080,2026-02-02,0,0,1,2026-02-01 15:47:17
12100081,2026-02-02,0,0,1,2026-02-01 15:47:17
12100082,2026-02-02,0,0,1,2026-02-01 15:47:17
12100083,2026-02-02,0,0,1,2026-02-01 15:47:17
12100084,2026-02-02,0,0,1,2026-02-01 15:47:17
12100085,2026-02-02,0,0,1,2026-02-01 15:47:17
12100086,2026-02-02,0,0,1,2026-02-01 15:47:17
12100087,2026-02-02,0,0,1,2026-02-01 15:47:17
12100088,2026-02-02,0,0,1,2026-02-01 15:47:17
12100097,2026-02-02,0,0,1,2026-02-01 15:47:17
12100101,2026-02-02,0,0,1,2026-02-01 15:47:17
12100103,2026-02-02,0,0,1,2026-02-01 15:47:17
12100104,2026-02-02,0,0,1,2026-02-01 15:47:17
12100137,2026-02-02,0,0,1,2026-02-01 15:47:17
12100138,2026-02-02,0,0,1,2026-02-01 15:47:17
12100139,2026-02-02,0,0,1,2026-02-01 15:47:17
12100140,2026-02-02,0,0,1,2026-02-01 15:47:17
12100141,2026-02-02,0,0,1,2026-02-01 15:47:17
12100142,2026-02-02,0,0,1,2026-02-01 15:47:17
12100143,2026-02-02,0,0,1,2026-02-01 15:47:17
12100144,2026-02-02,0,0,1,2026-02-01 15:47:17
12100145,2026-02-02,0,0,1,2026-02-01 15:47:17
12100146,2026-02-02,0,0,1,2026-02-01 15:47:17
12100162,2026-02-02,0,0,1,2026-02-01 15:47:17
12100163,2026-02-02,0,0,1,2026-02-01 15:47:17
12100164,2026-02-02,0,0,1,2026-02-01 15:47:17
12100165,2026-02-02,0,0,1,2026-02-01 15:47:17
12100166,2026-02-02,0,0,1,2026-02-01 15:47:17
12100167,2026-02-02,0,0,1,2026-02-01 15:47:17
12100168,2026-02-02,0,0,1,2026-02-01 15:47:17
12100169,2026-02-02,0,0,1,2026-02-01 15:47:17
12100170,2026-02-02,0,0,1,2026-02-01 15:47:17
12100171,2026-02-02,0,0,1,2026-02-01 15:47:17
12100172,2026-02-02,0,0,1,2026-02-01 15:47:17
12100173,2026-02-02,0,0,1,2026-02-01 15:47:17
12100174,2026-02-02,0,0,1,2026-02-01 15:47:17
12100175,2026-02-02,0,0,1,2026-02-01 15:47:17
12100176,2026-02-02,0,0,1,2026-02-01 15:47:17
12100177,2026-02-02,0,0,1,2026-02-01 15:47:17
12100178,2026-02-02,0,0,1,2026-02-01 15:47:17
12100182,2026-02-02,0,0,1,2026-02-01 15:47:17
12100183,2026-02-02,0,0,1,2026-02-01 15:47:17
12100184,2026-02-02,0,0,1,2026-02-01 15:47:17
12100185,2026-02-02,0,0,1,2026-02-01 15:47:17
12100186,2026-02-02,0,0,1,2026-02-01 15:47:17
12100187,2026-02-02,0,0,1,2026-02-01 15:47:17
12100188,2026-02-02,0,0,1,2026-02-01 15:47:17
12100189,2026-02-02,0,0,1,2026-02-01 15:47:17
12100190,2026-02-02,0,0,1,2026-02-01 15:47:17
12100191,2026-02-02,0,0,1,2026-02-01 15:47:17
12100192,2026-02-02,0,0,1,2026-02-01 15:47:17
12100197,2026-02-02,0,0,1,2026-02-01 15:47:17
